"id","question_name","category","status"
"","ఈ క్రింది వానిని పరిమాణంలో బతికిఉన్న 'ఏప్' లలో చిన్నవి","1","1"
"","జీరాఫీ అనేది ఒక బరువైన పోలికలు కలిగిన శరీర చర్మం, పొడవైన వెనుకటి కాళ్ళు, పొడవైన మెడ కలిగిన, ఏది జిరాఫీకి మరియు జీబ్రాలకు నాంది. ఉధ్బవించిన అరుదైన సంకరజీవి. ఈ జీవులు సాధారణంగా ఈ క్రింది ప్రాంతాలలో కనుగొన్నారు.","1","1"
"","ఫోరెన్సిక్ పరిశోధన ప్రక్రియలో నిర్జిత రక్తపు బొట్ల నుండి గాని స్లెయినింగ్ ఆధారంగా ఏర్పడిన స్పటికాల నిర్మాణాలను ఈ క్రింది విధంగా పేర్కొనవచ్చును","1","1"
"","విటమిన్ బి12 ఈ క్రింది పదార్థాలలో సమృద్ధిగా లభ్యమవుతుంది","1","1"
"","స్పైడర్ వలయాల'ను ఏర్పరచే సిల్కు పోగులను స్రవించే అవయవాలను ఈ క్రింది భాగంలో వుంటాయి","1","1"
"","కోయిలాడియో' జాతీయ పార్కు ఇచ్చట కలదు","1","1"
"","ల్లోమా' LLAMA అనే జంతువు, ఒంటె జంతువు నుండి ఈ క్రింది లక్షణాలలో విభేదించును
1. మెడపైన 'కొవ్వు' నిర్మాణాలు లేకపోవటం
2. మెడపై రెండు సంచులలో క్రొవ్వు నిర్మాణపు ఎత్తులు ఉండడం 
3. నూలు వంటి పోగులు, వెంట్రుకలు కలిగి ఉండటం
4. ఈ జంతువులు ఉత్తర అమెరికాలో ఎత్తైన ప్రదేశాలకు మాత్రమె పరిమితం","1","1"
"","ఒక కొమ్ము కలిగిన రైనోసార్ లు అత్యధికంగా వున్నా రెండు జాతీయ పార్కులను పేర్కొనండి?","1","1"
"","ఉడికించని ఆలుగడ్డ మానవులకు సరిగా జీర్ణంకాదు. దీనికి కారణం ప్రతి ఆలుగడ్డ నిర్మాణములో ఈ క్రింది నిర్మాణాలు త్వచ నిర్మాణాలుగా వుంటాయి","1","1"
"","ఖనిజ మూలక దాతువులో వచ్చే వృక్షపు వ్యాధిని ఈ క్రింది వానిలో గుర్తించండి?","1","1"
"","క్రింది క్షీరదములో వాని నడక ప్రక్రియలో ఒక వైపు వున్నా ముందటి మరియు వెనుకటి కాలి మడతలను ఒకేసారిగా కదిలించి గమనం చేయగలదా","1","1"
"","సముచిత జనాభా సమూహములో ఒక ప్రత్యేకమైన జీవజాతి ఒకవేళ గత 10సం.ల నుండి రమారమీ 80% సంఖ్యలో తరుగుదల కనిపిస్తుంటే, ప్రతి చదరపు కిలోమీటరు పరిధిలో 50 కంటే తక్కువ సంఖ్య గల వ్యక్తిగత జనాభా మిగిలిపోతుంటే ఈ క్రింది విధంగా వర్ణించవచ్చును","1","1"
"","మనకు ప్రాణాధారమైన ఆక్సిజన్ వాయువు కిరణజన్య సంయోగక్రియలో అంత్య పదార్థము ఈ క్రింది వాని నుండి ఆక్సిజన్ వాయువు ఉత్పన్నం గావించబడుతుంది.","1","1"
"","వాలాబైయాస్'(Wallabies) అనునవి","1","1"
"","ఈ క్రింది రక్తపు కణజాలం 2,8,4 లేక 8 కణాల గ్రూపులను కలిగి ఉంటాయి","1","1"
