"id","question_name","category","status"
"","ఎసిబిటి (అణు నిషేధ ఒప్పందం) పై మొట్టమొదట సంతకం చేసిన సంవత్సరం?","1","1"
"","మధ్యప్రదేశ్ లో  ""కుంభమేళ"" ఎక్కడ జరుగుతుంది?","1","1"
"","ఒలింపిక్స్ 2000 ఎక్కడ జరిగింది? ","1","1"
"","'గేట్ వే ఆఫ్ ఇండియా' ఎక్కడ ఉన్నది?","1","1"
"","'జవహర్ ద్వీపం' ఎక్కడ వెలుగుతోంది? ","1","1"
"","'జాతీయగీతం' ఎవరు రచించారు?","1","1"
"","'గీతాంజలి' ఎవరు రచించారు?","1","1"
"","మై ఎక్స్ పెరిమెంట్స్ గ్రంథ రచయిత? ","1","1"
"","1999 సం|| క్రికెట్ ప్రపంచ కప్ గెలుచుకున్న దేశం?","1","1"
"","భారత క్రికెట్ జట్టు నాయకులైన సౌరవ్-సచిన్ లు  ఏ రంజి జట్లకు నాయకత్వం వహించారు?","1","1"
"","మరణాంతరం పద్మవిభూషణ్ పొందిన శాస్త్రవేత్త?","1","1"
"","భారతదేశపు జాతీయ క్రీడ?","1","1"
"","క్రింది దానిలో ఏది 'వింబుల్డన్'కు చెందినది? ","1","1"
"","క్రింది వానిలో టెన్నిస్ కు సంబంధించిన పదం? ","1","1"
"","నోబెల్ బహుమతులు ఇచ్చే దేశం? ","1","1"
"","మొట్టమొదట ఐక్యరాజ్య సమితి సాధారణ సభలో అధ్యక్షుడయిన భారతీయుడు ఎవరు?","1","1"
"","ఎయిర్ ఫోర్స్   లో క్రింది స్థాయి అధికారి? ","1","1"
"","నాలుగు నోబెల్ బహుమతులు సాధించిన వారిని పంపిన రాష్ట్రం ","1","1"
"","'వజ్రాల భూమి' అని ఏ రాష్ట్రాన్ని అంటారు?","1","1"
"","ఆంధ్రప్రదేశ్ రాష్ట్ర సాంప్రదాయ నృత్యం ఏది?","1","1"
"","""గార్భా"" అను నాట్యం ఏ రాష్ట్రంకు సంబంధించినది? ","1","1"
"","జాతీయ ముద్ర నందు కనబడు సింహముల సంఖ్య?","1","1"
"","జాతీయ పతాకంలో ఉండే చక్రం ఏ రంగులో ఉంటుంది?","1","1"
"","జి.ఎన్.పి సంక్షిప్త రూపం?","1","1"
"","స్వాతంత్య్రానంతరం ఎవరి జ్ఞాపికగా వెంటనే స్టాంపును విడుదల చేశారు?","1","1"
"","నవాజ్ షరీఫ్ ను  అధికారం నుంచి తొలగించిన సైనికాధికారి ఎవరు?","1","1"
"","ఢిల్లీ నుండి లాహోర్ కు  మొదటి బస్సు ఏ సంవత్సరంలో ప్రారంభమైంది?","1","1"
"","""సితార్"" క్రింది వారిలో ఎవరికి సంబంధించినది? ","1","1"
"","కరణం మల్లేశ్వరి ఏ రాష్ట్రానికి చెందిన వారు ","1","1"
